Date,GHI (W/m2),Civil Building Demand (kW) - 1,Week Day,Month,Sin Hour
2019-01-13 05:00:00,3.0080000000000005,124.443,6,1,-3.9660699703704005
2019-01-13 06:00:00,2.85325,124.07,6,1,-1.455000338086136
2019-01-13 07:00:00,3.7625833333333336,119.508,6,1,1.1552251627369516
2019-01-13 08:00:00,71.71333333333332,118.596,6,1,3.686723977819363
2019-01-13 09:00:00,222.875,116.86,6,1,5.966978646412833
2019-01-13 10:00:00,362.1,121.667,6,1,7.8405935811517145
2019-01-13 11:00:00,460.35,122.789,6,1,9.17988502052864
2019-01-13 12:00:00,503.0333333333333,127.549,6,1,9.893582466233818
2019-01-13 13:00:00,489.575,138.785,6,1,9.933048616783237
2019-01-13 14:00:00,420.1,140.351,6,1,9.295593919237854
2019-01-13 15:00:00,300.3833333333333,141.106,6,1,8.024659857791692
2019-01-13 16:00:00,149.96666666666667,144.205,6,1,6.206858488414452
2019-01-13 17:00:00,17.914333333333335,152.382,6,1,3.96606997037041
2019-01-13 18:00:00,1.0431666666666668,162.601,6,1,1.455000338086137
2019-01-13 19:00:00,2.87575,166.85,6,1,-1.1552251627369503
2019-01-13 20:00:00,3.544833333333333,159.999,6,1,-3.6867239778193617
2019-01-13 21:00:00,2.6285833333333333,150.192,6,1,-5.966978646412833
2019-01-13 22:00:00,1.68475,145.598,6,1,-7.840593581151714
2019-01-13 23:00:00,1.9594166666666668,143.722,6,1,-9.179885020528637
2019-01-14 00:00:00,1.06875,142.572,0,1,-9.893582466233818
2019-01-14 01:00:00,1.101,139.842,0,1,-9.933048616783237
2019-01-14 02:00:00,1.89025,137.919,0,1,-9.29559391923785
2019-01-14 03:00:00,2.0892500000000003,140.603,0,1,-8.024659857791685
2019-01-14 04:00:00,2.754,127.857,0,1,-6.2068584884144515
2019-01-14 05:00:00,4.46475,128.729,0,1,-3.9660699703704005
2019-01-14 06:00:00,2.9299166666666667,127.452,0,1,-1.455000338086136
2019-01-14 07:00:00,4.6315,147.843,0,1,1.1552251627369516
2019-01-14 08:00:00,70.954,251.777,0,1,3.686723977819363
2019-01-14 09:00:00,220.1833333333333,394.32,0,1,5.966978646412833
2019-01-14 10:00:00,350.39166666666665,474.11,0,1,7.8405935811517145
2019-01-14 11:00:00,446.475,521.171,0,1,9.17988502052864
2019-01-14 12:00:00,480.95,544.982,0,1,9.893582466233818
2019-01-14 13:00:00,461.4666666666667,551.888,0,1,9.933048616783237
2019-01-14 14:00:00,388.425,540.135,0,1,9.295593919237854
2019-01-14 15:00:00,271.31666666666666,537.895,0,1,8.024659857791692
2019-01-14 16:00:00,135.60833333333332,517.332,0,1,6.206858488414452
2019-01-14 17:00:00,18.131166666666665,479.467,0,1,3.96606997037041
2019-01-14 18:00:00,3.2816666666666667,451.596,0,1,1.455000338086137
2019-01-14 19:00:00,2.968083333333333,376.929,0,1,-1.1552251627369503
2019-01-14 20:00:00,3.307166666666667,295.314,0,1,-3.6867239778193617
2019-01-14 21:00:00,2.907833333333333,246.683,0,1,-5.966978646412833
2019-01-14 22:00:00,2.8548333333333336,203.881,0,1,-7.840593581151714
2019-01-14 23:00:00,3.565583333333333,174.743,0,1,-9.179885020528637
2019-01-15 00:00:00,2.704916666666667,171.538,1,1,-9.893582466233818
2019-01-15 01:00:00,3.0444166666666668,165.329,1,1,-9.933048616783237
2019-01-15 02:00:00,3.5410833333333334,156.435,1,1,-9.29559391923785
2019-01-15 03:00:00,3.1580833333333334,154.836,1,1,-8.024659857791685
2019-01-15 04:00:00,2.4218333333333333,151.873,1,1,-6.2068584884144515
2019-01-15 05:00:00,3.1165000000000003,146.083,1,1,-3.9660699703704005
2019-01-15 06:00:00,3.068083333333333,145.421,1,1,-1.455000338086136
2019-01-15 07:00:00,4.072583333333333,165.512,1,1,1.1552251627369516
2019-01-15 08:00:00,33.968,259.655,1,1,3.686723977819363
2019-01-15 09:00:00,144.08333333333334,399.863,1,1,5.966978646412833
2019-01-15 10:00:00,281.71666666666664,442.824,1,1,7.8405935811517145
2019-01-15 11:00:00,364.4333333333333,494.307,1,1,9.17988502052864
2019-01-15 12:00:00,371.10833333333335,515.217,1,1,9.893582466233818
2019-01-15 13:00:00,322.34166666666664,533.099,1,1,9.933048616783237
2019-01-15 14:00:00,240.9416666666667,525.386,1,1,9.295593919237854
2019-01-15 15:00:00,162.51666666666668,538.799,1,1,8.024659857791692
2019-01-15 16:00:00,49.36916666666667,536.024,1,1,6.206858488414452
2019-01-15 17:00:00,5.445833333333333,500.495,1,1,3.96606997037041
2019-01-15 18:00:00,3.496333333333333,480.432,1,1,1.455000338086137
2019-01-15 19:00:00,2.6772500000000004,403.49,1,1,-1.1552251627369503
2019-01-15 20:00:00,3.064916666666667,303.201,1,1,-3.6867239778193617
2019-01-15 21:00:00,3.603,263.852,1,1,-5.966978646412833
2019-01-15 22:00:00,3.736583333333333,204.972,1,1,-7.840593581151714
2019-01-15 23:00:00,2.9010833333333337,198.914,1,1,-9.179885020528637
2019-01-16 00:00:00,2.6886666666666668,193.066,2,1,-9.893582466233818
2019-01-16 01:00:00,2.90125,182.062,2,1,-9.933048616783237
2019-01-16 02:00:00,4.105916666666666,155.694,2,1,-9.29559391923785
2019-01-16 03:00:00,2.582583333333333,149.643,2,1,-8.024659857791685
2019-01-16 04:00:00,3.4571666666666663,149.31,2,1,-6.2068584884144515
2019-01-16 05:00:00,2.818,145.677,2,1,-3.9660699703704005
2019-01-16 06:00:00,3.7273333333333336,148.478,2,1,-1.455000338086136
2019-01-16 07:00:00,2.9406666666666665,165.529,2,1,1.1552251627369516
2019-01-16 08:00:00,8.978583333333333,256.872,2,1,3.686723977819363
2019-01-16 09:00:00,50.39000000000001,387.257,2,1,5.966978646412833
2019-01-16 10:00:00,91.03916666666667,469.006,2,1,7.8405935811517145
2019-01-16 11:00:00,147.79999999999998,528.6,2,1,9.17988502052864
2019-01-16 12:00:00,220.1833333333333,560.155,2,1,9.893582466233818
