DateTime,Civil Building Demand (kW),GHI (W/m2),Civil Building Demand (kW) - 1,Week Day,Month,Sin Hour
2017-10-01 09:00:00,81.5667975,31.562197500000007,81.3827699,6,10,5.966978646412833
2017-10-01 10:00:00,83.484388,31.562197500000007,81.5667975,6,10,7.8405935811517145
2017-10-01 11:00:00,87.1204603,31.562197500000007,83.484388,6,10,9.17988502052864
2017-10-01 12:00:00,89.2451773,31.562197500000007,87.1204603,6,10,9.893582466233818
2017-10-01 13:00:00,89.5088102,31.562197500000007,89.2451773,6,10,9.933048616783237
2017-10-01 14:00:00,92.9786086,31.562197500000007,89.5088102,6,10,9.295593919237854
2017-10-01 15:00:00,96.3227948,31.562197500000007,92.9786086,6,10,8.024659857791692
2017-10-01 16:00:00,95.2003028,31.562197500000007,96.3227948,6,10,6.206858488414452
2017-10-01 17:00:00,97.1896717,31.562197500000007,95.2003028,6,10,3.96606997037041
2017-10-01 18:00:00,97.3271197,31.562197500000007,97.1896717,6,10,1.455000338086137
2017-10-01 19:00:00,100.8100902,31.562197500000007,97.3271197,6,10,-1.1552251627369503
2017-10-01 20:00:00,102.9243077,31.562197500000007,100.8100902,6,10,-3.6867239778193617
2017-10-01 21:00:00,102.1549807,31.562197500000007,102.9243077,6,10,-5.966978646412833
2017-10-01 22:00:00,95.6069198,31.562197500000007,102.1549807,6,10,-7.840593581151714
2017-10-01 23:00:00,96.2534981,31.562197500000007,95.6069198,6,10,-9.179885020528637
2017-10-02 00:00:00,94.663492,31.562197500000007,96.2534981,0,10,-9.893582466233818
2017-10-02 01:00:00,87.7069051,31.562197500000007,94.663492,0,10,-9.933048616783237
2017-10-02 02:00:00,85.861093,31.562197500000007,87.7069051,0,10,-9.29559391923785
2017-10-02 03:00:00,83.1862022,31.562197500000007,85.861093,0,10,-8.024659857791685
2017-10-02 04:00:00,84.5933261,31.562197500000007,83.1862022,0,10,-6.2068584884144515
2017-10-02 05:00:00,88.8668135,31.562197500000007,84.5933261,0,10,-3.9660699703704005
2017-10-02 06:00:00,96.8914859,31.562197500000007,88.8668135,0,10,-1.455000338086136
2017-10-02 07:00:00,169.6291584,31.562197500000007,96.8914859,0,10,1.1552251627369516
2017-10-02 08:00:00,256.8303694,31.562197500000007,169.6291584,0,10,3.686723977819363
2017-10-02 09:00:00,301.3684848,31.562197500000007,256.8303694,0,10,5.966978646412833
